선거구명,선거구역
사 하 구 갑 선 거 구,당리동
사 하 구 갑 선 거 구,하단제1동
사 하 구 갑 선 거 구,하단제2동
사 하 구 갑 선 거 구,신평제2동
사 하 구 을 선 거 구,신평제1동
사 하 구 을 선 거 구,장림제1동
사 하 구 을 선 거 구,장림제2동
사 하 구 을 선 거 구,다대제1동
사 하 구 을 선 거 구,다대제2동
사 하 구 을 선 거 구,구평동
사 하 구 을 선 거 구,감천제1동
사 하 구 을 선 거 구,감천제2동
금 정 구 선 거 구,금정구
강 서 구 선 거 구,강서구
연 제 구 선 거 구,연제구
수 영 구 선 거 구,수영구
사 상 구 선 거 구,사상구
기 장 군 선 거 구,기장군
대구광역시(지역구 : 12),
중 구 남 구 선 거 구,중구
중 구 남 구 선 거 구,남구
동구군위군갑선거구,동구신암1동
동구군위군갑선거구,신암2동
동구군위군갑선거구,신암3동
동구군위군갑선거구,신암4동
동구군위군갑선거구,신암5동
동구군위군갑선거구,신천1․2동
동구군위군갑선거구,신천3동
동구군위군갑선거구,신천4동
동구군위군갑선거구,효목1동
동구군위군갑선거구,효목2동
동구군위군갑선거구,지저동
동구군위군갑선거구,동촌동
동구군위군갑선거구,방촌동
동구군위군을선거구,동구도평동
동구군위군을선거구,불로․봉무동
동구군위군을선거구,해안동
동구군위군을선거구,안심1동
동구군위군을선거구,안심2동
동구군위군을선거구,안심3동
동구군위군을선거구,안심4동
동구군위군을선거구,혁신동
동구군위군을선거구,공산동
동구군위군을선거구,군위군
서 구 선 거 구,서구
북 구 갑 선 거 구,고성동
북 구 갑 선 거 구,칠성동
북 구 갑 선 거 구,침산1동
북 구 갑 선 거 구,침산2동
북 구 갑 선 거 구,침산3동
북 구 갑 선 거 구,산격1동
북 구 갑 선 거 구,산격2동
북 구 갑 선 거 구,산격3동
북 구 갑 선 거 구,산격4동
북 구 갑 선 거 구,대현동
북 구 갑 선 거 구,복현1동
북 구 갑 선 거 구,복현2동
북 구 갑 선 거 구,검단동
북 구 갑 선 거 구,노원동
북 구 을 선 거 구,무태조야동
북 구 을 선 거 구,관문동
북 구 을 선 거 구,태전1동
북 구 을 선 거 구,태전2동
북 구 을 선 거 구,구암동
북 구 을 선 거 구,관음동
북 구 을 선 거 구,읍내동
북 구 을 선 거 구,동천동
북 구 을 선 거 구,국우동
수 성 구 갑 선 거 구,범어1동
수 성 구 갑 선 거 구,범어2동
수 성 구 갑 선 거 구,범어3동
수 성 구 갑 선 거 구,범어4동
수 성 구 갑 선 거 구,만촌1동
수 성 구 갑 선 거 구,만촌2동
수 성 구 갑 선 거 구,만촌3동
수 성 구 갑 선 거 구,황금1동
수 성 구 갑 선 거 구,황금2동
수 성 구 갑 선 거 구,고산1동
수 성 구 갑 선 거 구,고산2동
수 성 구 갑 선 거 구,고산3동
수 성 구 을 선 거 구,수성1가동
수 성 구 을 선 거 구,수성2․3가동
수 성 구 을 선 거 구,수성4가동
수 성 구 을 선 거 구,중동
수 성 구 을 선 거 구,상동
수 성 구 을 선 거 구,파동
수 성 구 을 선 거 구,두산동
수 성 구 을 선 거 구,지산1동
수 성 구 을 선 거 구,지산2동
수 성 구 을 선 거 구,범물1동
수 성 구 을 선 거 구,범물2동
달 서 구 갑 선 거 구,죽전동
달 서 구 갑 선 거 구,장기동
달 서 구 갑 선 거 구,용산1동
달 서 구 갑 선 거 구,용산2동
달 서 구 갑 선 거 구,이곡1동
달 서 구 갑 선 거 구,이곡2동
달 서 구 갑 선 거 구,신당동
달 서 구 을 선 거 구,월성1동
달 서 구 을 선 거 구,월성2동
달 서 구 을 선 거 구,진천동
달 서 구 을 선 거 구,유천동
달 서 구 을 선 거 구,상인1동
달 서 구 을 선 거 구,상인2동
달 서 구 을 선 거 구,상인3동
달 서 구 을 선 거 구,도원동
달 서 구 병 선 거 구,성당동
달 서 구 병 선 거 구,두류1․2동
달 서 구 병 선 거 구,두류3동
달 서 구 병 선 거 구,본리동
달 서 구 병 선 거 구,감삼동
달 서 구 병 선 거 구,송현1동
달 서 구 병 선 거 구,송현2동
달 서 구 병 선 거 구,본동
달 성 군 선 거 구,달성군
인천광역시(지역구 : 14),
"중구강화군옹진군
선 거 구",중구
"중구강화군옹진군
선 거 구",강화군
"중구강화군옹진군
선 거 구",옹진군
"동 구 미 추 홀 구 갑
선 거 구",미추홀구도화1동
"동 구 미 추 홀 구 갑
선 거 구",도화2․3동
"동 구 미 추 홀 구 갑
선 거 구",주안1동
"동 구 미 추 홀 구 갑
선 거 구",주안2동
"동 구 미 추 홀 구 갑
선 거 구",주안3동
"동 구 미 추 홀 구 갑
선 거 구",주안4동
"동 구 미 추 홀 구 갑
선 거 구",주안5동
"동 구 미 추 홀 구 갑
선 거 구",주안6동
"동 구 미 추 홀 구 갑
선 거 구",주안7동
"동 구 미 추 홀 구 갑
선 거 구",주안8동
"동 구 미 추 홀 구 갑
선 거 구",동구
"동 구 미 추 홀 구 을
선 거 구",미추홀구숭의1․3동
"동 구 미 추 홀 구 을
선 거 구",숭의2동
"동 구 미 추 홀 구 을
선 거 구",숭의4동
"동 구 미 추 홀 구 을
선 거 구",용현1․4동
"동 구 미 추 홀 구 을
선 거 구",용현2동
"동 구 미 추 홀 구 을
선 거 구",용현3동
"동 구 미 추 홀 구 을
선 거 구",용현5동
"동 구 미 추 홀 구 을
선 거 구",학익1동
"동 구 미 추 홀 구 을
선 거 구",학익2동
"동 구 미 추 홀 구 을
선 거 구",관교동
"동 구 미 추 홀 구 을
선 거 구",문학동
연 수 구 갑 선 거 구,옥련1동
연 수 구 갑 선 거 구,옥련2동
연 수 구 갑 선 거 구,선학동
연 수 구 갑 선 거 구,연수1동
연 수 구 갑 선 거 구,연수2동
연 수 구 갑 선 거 구,연수3동
연 수 구 갑 선 거 구,청학동
